2026-04-05T01:28:06.342885845Z [inf]  Starting Container
2026-04-05T01:28:07.235213026Z [err]  [db] WARNING: DATABASE_URL is not set — database operations will fail. Set DATABASE_URL in your Railway Variables and link it to your PostgreSQL service.
2026-04-05T01:28:07.235218778Z [inf]  JWT_SECRET is not set — using insecure default. Set JWT_SECRET before deploying to production.
2026-04-05T01:28:07.235223531Z [inf]  Server listening
2026-04-05T01:28:07.235228214Z [inf]  DATABASE_URL is not set. Go to Railway → your service → Variables and add DATABASE_URL from your PostgreSQL service.
2026-04-05T01:28:07.235233476Z [inf]  FATAL: JWT_SECRET is using the default insecure value in production. Set a strong JWT_SECRET environment variable and restart the server.
2026-04-05T01:28:07.535200040Z [err]  [db] WARNING: DATABASE_URL is not set — database operations will fail. Set DATABASE_URL in your Railway Variables and link it to your PostgreSQL service.
2026-04-05T01:28:07.535209217Z [inf]  JWT_SECRET is not set — using insecure default. Set JWT_SECRET before deploying to production.
2026-04-05T01:28:07.624219357Z [inf]  Server listening
2026-04-05T01:28:07.624231570Z [inf]  DATABASE_URL is not set. Go to Railway → your service → Variables and add DATABASE_URL from your PostgreSQL service.
2026-04-05T01:28:07.624237003Z [inf]  FATAL: JWT_SECRET is using the default insecure value in production. Set a strong JWT_SECRET environment variable and restart the server.
2026-04-05T01:28:08.569126062Z [err]  [db] WARNING: DATABASE_URL is not set — database operations will fail. Set DATABASE_URL in your Railway Variables and link it to your PostgreSQL service.
2026-04-05T01:28:08.574220336Z [inf]  JWT_SECRET is not set — using insecure default. Set JWT_SECRET before deploying to production.
2026-04-05T01:28:08.667172682Z [inf]  Server listening
2026-04-05T01:28:08.667182568Z [inf]  DATABASE_URL is not set. Go to Railway → your service → Variables and add DATABASE_URL from your PostgreSQL service.
2026-04-05T01:28:08.667190378Z [inf]  FATAL: JWT_SECRET is using the default insecure value in production. Set a strong JWT_SECRET environment variable and restart the server.
2026-04-05T01:28:09.621525092Z [err]  [db] WARNING: DATABASE_URL is not set — database operations will fail. Set DATABASE_URL in your Railway Variables and link it to your PostgreSQL service.
2026-04-05T01:28:09.621535568Z [inf]  JWT_SECRET is not set — using insecure default. Set JWT_SECRET before deploying to production.
2026-04-05T01:28:10.230303002Z [inf]  Server listening
2026-04-05T01:28:10.230311479Z [inf]  DATABASE_URL is not set. Go to Railway → your service → Variables and add DATABASE_URL from your PostgreSQL service.
2026-04-05T01:28:10.230319048Z [inf]  FATAL: JWT_SECRET is using the default insecure value in production. Set a strong JWT_SECRET environment variable and restart the server.
2026-04-05T01:28:11.249126174Z [inf]  FATAL: JWT_SECRET is using the default insecure value in production. Set a strong JWT_SECRET environment variable and restart the server.
